College,Department,Category,Cutoff
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,SCG,80462
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,SCR,116159
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,STG,94563
E003 B M S College of Engineering - Basavanagudi Bangalore,CE Civil,STR,123121
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,1G,8704
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,1R,11264
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,2AG,5913
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,2AR,6916
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,2BG,6731
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,3AG,4170
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,3BG,3485
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,3BK,11984
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,GM,2838
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,GMK,7725
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,GMR,6804
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,SCG,25896
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,SCR,35225
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,STG,32837
E003 B M S College of Engineering - Basavanagudi Bangalore,EC Electronics,STR,58023
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,1G,14853
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,1R,49153
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,2AG,18804
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,2AK,32215
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,2AR,23820
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,2BG,26474
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,3AG,10583
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,3BG,16451
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,3BR,19577
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,GM,9150
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,GMK,25985
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,GMR,17158
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,SCG,50740
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,SCK,78200
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,SCR,53189
E003 B M S College of Engineering - Basavanagudi Bangalore,EE Electrical,STG,75397
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,1G,74739
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,2AG,66121
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,2AK,71066
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,2AR,70417
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,2BG,45147
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,2BR,67492
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,3AG,42205
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,3AR,76313
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,3BG,54285
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,GM,40082
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,GMK,53636
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,GMR,67038
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,SCG,151846
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,SCK,169918
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,SCR,188344
E003 B M S College of Engineering - Basavanagudi Bangalore,IM Ind. Engg. Mgmt.,STG,173421
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,1G,27614
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,2AG,38952
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,2AR,42973
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,2BG,46818
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,3AG,23435
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,3AR,38686
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,3BG,34678
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,3AK,81676
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,GM,21721
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,GMK,47628
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,GMR,32894
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,SCG,87250
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,SCR,124646
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,STG,114054
E003 B M S College of Engineering - Basavanagudi Bangalore,ME Mechanical,STR,171095
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,1G,145137
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,2AG,146589
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,2AK,147346
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,2AR,174271
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,2BG,151646
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,3AG,114060
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,3BG,129329
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,3BR,136888
E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,GM,108419
